Date,High,Low,Open,Close,Volume,Adj Close
2012-01-02,7230.0,7010.0,7100.0,7170.0,186897.0,6251.287109375
2012-01-03,7220.0,7060.0,7120.0,7080.0,244935.0,6172.8203125
2012-01-04,7200.0,7000.0,7080.0,7090.0,93738.0,6181.5380859375
2012-01-05,7120.0,6930.0,7030.0,6930.0,120759.0,6042.03955078125
2012-01-06,7050.0,6650.0,7000.0,6770.0,100704.0,5902.54052734375
2012-01-09,7010.0,6510.0,6790.0,6930.0,146180.0,6042.03955078125
2012-01-10,7040.0,6900.0,6990.0,6930.0,89934.0,6042.03955078125
2012-01-11,7000.0,6800.0,6960.0,6840.0,64392.0,5963.5712890625
2012-01-12,6950.0,6690.0,6840.0,6800.0,113195.0,5928.6962890625
2012-01-13,6880.0,6710.0,6800.0,6720.0,60373.0,5858.94775390625
2012-01-16,6760.0,5720.0,6760.0,6690.0,164538.0,5832.791015625
2012-01-17,6750.0,6510.0,6680.0,6510.0,100878.0,5675.85498046875
2012-01-18,6720.0,6450.0,6490.0,6600.0,94992.0,5754.32275390625
2012-01-19,6690.0,6520.0,6590.0,6550.0,76365.0,5710.72998046875
2012-01-20,6570.0,6380.0,6550.0,6490.0,93930.0,5658.41796875
2012-01-25,6490.0,6240.0,6490.0,6370.0,144721.0,5553.79345703125
2012-01-26,6530.0,6270.0,6310.0,6470.0,134395.0,5640.98046875
2012-01-27,6580.0,6350.0,6450.0,6390.0,196767.0,5571.2314453125
2012-01-30,6470.0,6200.0,6390.0,6240.0,184053.0,5440.451171875
2012-01-31,6320.0,6140.0,6280.0,6190.0,75769.0,5396.8583984375
2012-02-01,6510.0,6000.0,6200.0,6400.0,437880.0,5579.94970703125
2012-02-02,6570.0,6320.0,6350.0,6560.0,304298.0,5719.4482421875
2012-02-03,7540.0,6880.0,6930.0,7210.0,1810218.0,6286.16259765625
2012-02-06,7980.0,7300.0,7300.0,7630.0,1406887.0,6652.3466796875
2012-02-07,7840.0,7430.0,7630.0,7710.0,364370.0,6722.095703125
2012-02-08,7840.0,7470.0,7840.0,7770.0,274038.0,6774.40771484375
2012-02-09,8590.0,7590.0,7770.0,8160.0,816695.0,7114.43603515625
2012-02-10,8290.0,7820.0,8050.0,7910.0,280609.0,6896.46875
2012-02-13,7930.0,7690.0,7820.0,7890.0,223120.0,6879.03173828125
2012-02-14,8450.0,7780.0,7780.0,8280.0,405683.0,7219.06005859375
2012-02-15,8580.0,8200.0,8320.0,8430.0,355728.0,7349.83984375
2012-02-16,8410.0,8100.0,8410.0,8140.0,235833.0,7096.99853515625
2012-02-17,8260.0,8030.0,8240.0,8050.0,149680.0,7018.53125
2012-02-20,8140.0,7960.0,8040.0,8070.0,94781.0,7035.96826171875
2012-02-21,8100.0,7890.0,7950.0,7990.0,426997.0,6966.21875
2012-02-22,8370.0,7960.0,7960.0,8290.0,221568.0,7227.7783203125
2012-02-23,8380.0,8150.0,8150.0,8310.0,139361.0,7245.2158203125
2012-02-24,8410.0,8160.0,8410.0,8270.0,85126.0,7210.34130859375
2012-02-27,8270.0,8040.0,8200.0,8200.0,85810.0,7149.310546875
2012-02-28,8330.0,8050.0,8140.0,8250.0,75222.0,7192.904296875
2012-02-29,8460.0,8060.0,8250.0,8200.0,179379.0,7149.310546875
2012-03-02,8600.0,8210.0,8210.0,8570.0,149760.0,7471.90185546875
2012-03-05,8700.0,8290.0,8600.0,8450.0,167002.0,7367.27783203125
2012-03-06,8510.0,8110.0,8510.0,8260.0,128927.0,7201.623046875
2012-03-07,8210.0,8010.0,8110.0,8190.0,490381.0,7140.591796875
2012-03-08,8290.0,7990.0,8120.0,8230.0,132277.0,7175.46728515625
2012-03-09,8350.0,8030.0,8310.0,8070.0,59056.0,7035.96826171875
2012-03-12,8130.0,7940.0,8070.0,8100.0,169910.0,7062.1240234375
2012-03-13,8200.0,7800.0,8020.0,8190.0,217784.0,7140.591796875
2012-03-14,8200.0,8020.0,8190.0,8050.0,90466.0,7018.53125
2012-03-15,8080.0,7830.0,7830.0,7990.0,71231.0,6966.21875
2012-03-16,7960.0,7800.0,7870.0,7810.0,73565.0,6809.2822265625
2012-03-19,7910.0,7750.0,7750.0,7910.0,92944.0,6896.46875
2012-03-20,8120.0,7850.0,7880.0,8120.0,150953.0,7079.5615234375
2012-03-21,8280.0,7980.0,8150.0,8250.0,127211.0,7192.904296875
2012-03-22,8340.0,7960.0,8270.0,8000.0,78310.0,6974.9375
2012-03-23,8090.0,7850.0,7990.0,8000.0,55274.0,6974.9375
2012-03-26,8050.0,7800.0,8020.0,7950.0,53772.0,6931.34375
2012-03-27,8040.0,7750.0,7910.0,7840.0,102253.0,6835.43798828125
2012-03-28,8060.0,7720.0,7760.0,7990.0,106186.0,6966.21875
2012-03-29,7990.0,7810.0,7870.0,7950.0,89379.0,6931.34375
2012-03-30,8290.0,7950.0,7970.0,8050.0,89414.0,7018.53125
2012-04-02,8190.0,7980.0,8050.0,8180.0,97297.0,7131.8740234375
2012-04-03,8300.0,8140.0,8180.0,8190.0,93350.0,7140.591796875
2012-04-04,8300.0,7970.0,8300.0,8000.0,39518.0,6974.9375
2012-04-05,8050.0,7870.0,7870.0,8030.0,44433.0,7001.09375
2012-04-06,8200.0,7900.0,8030.0,7950.0,43800.0,6931.34375
2012-04-09,8290.0,7890.0,7890.0,7970.0,168845.0,6948.78173828125
2012-04-10,8050.0,7840.0,7890.0,8000.0,114331.0,6974.9375
2012-04-12,8200.0,7840.0,8000.0,8160.0,236517.0,7114.43603515625
2012-04-13,8610.0,8100.0,8160.0,8450.0,421361.0,7367.27783203125
2012-04-16,8480.0,8310.0,8450.0,8320.0,89396.0,7253.93505859375
2012-04-17,8670.0,8350.0,8430.0,8500.0,202797.0,7410.87158203125
2012-04-18,8600.0,8340.0,8600.0,8350.0,139576.0,7280.0908203125
2012-04-19,8540.0,8200.0,8360.0,8250.0,144004.0,7192.904296875
2012-04-20,8840.0,8160.0,8250.0,8800.0,345799.0,7672.43115234375
2012-04-23,9150.0,8820.0,9000.0,8960.0,647110.0,7811.9306640625
2012-04-24,9240.0,8910.0,9030.0,8910.0,514085.0,7768.3359375
2012-04-25,9030.0,8720.0,8900.0,8940.0,171156.0,7794.4912109375
2012-04-26,8950.0,8530.0,8860.0,8720.0,210590.0,7602.68212890625
2012-04-27,8940.0,8530.0,8720.0,8870.0,228980.0,7733.4609375
2012-04-30,8880.0,8620.0,8800.0,8780.0,235170.0,7654.99267578125
2012-05-02,9100.0,8820.0,8880.0,9020.0,327750.0,7864.24072265625
2012-05-03,9100.0,8830.0,9020.0,8830.0,119449.0,7698.58740234375
2012-05-04,8980.0,8700.0,8830.0,8840.0,108379.0,7707.306640625
2012-05-07,8890.0,8670.0,8790.0,8840.0,89691.0,7707.306640625
2012-05-08,9350.0,8900.0,8930.0,9200.0,391813.0,8021.177734375
2012-05-09,9430.0,9150.0,9200.0,9400.0,260269.0,8195.5517578125
2012-05-10,9550.0,9310.0,9440.0,9470.0,178130.0,8256.5810546875
2012-05-11,9560.0,9320.0,9470.0,9560.0,196661.0,8335.048828125
2012-05-14,9560.0,9120.0,9510.0,9230.0,133801.0,8047.3330078125
2012-05-15,9170.0,8450.0,9030.0,8820.0,488287.0,7689.8681640625
2012-05-16,9020.0,8580.0,8680.0,8760.0,159888.0,7637.556640625
2012-05-17,8890.0,8500.0,8700.0,8830.0,169670.0,7698.58740234375
