Date,High,Low,Open,Close,Volume,Adj Close
2012-01-02,38200.0,37600.0,37600.0,38000.0,145343.0,32979.44140625
2012-01-03,39950.0,38200.0,38200.0,39950.0,381257.0,34671.80859375
2012-01-04,40450.0,39350.0,39800.0,39450.0,204857.0,34237.87109375
2012-01-05,41350.0,39250.0,39300.0,41200.0,417542.0,35756.6640625
2012-01-06,41300.0,39900.0,40950.0,41050.0,269146.0,35626.484375
2012-01-09,40950.0,39850.0,40800.0,40450.0,200815.0,35105.75390625
2012-01-10,41450.0,40550.0,40850.0,41150.0,219669.0,35713.265625
2012-01-11,41900.0,40750.0,41200.0,41000.0,241217.0,35583.0859375
2012-01-12,45200.0,41500.0,41500.0,43850.0,970063.0,38056.54296875
2012-01-13,44300.0,42450.0,44200.0,42900.0,395435.0,37232.05859375
2012-01-16,43850.0,41650.0,42300.0,43850.0,254104.0,38056.54296875
2012-01-17,45000.0,43800.0,43900.0,44650.0,510031.0,38750.84375
2012-01-18,45000.0,44000.0,44500.0,44000.0,247323.0,38186.72265625
2012-01-19,44650.0,42900.0,44050.0,42900.0,256201.0,37232.05859375
2012-01-20,44750.0,43300.0,43350.0,44400.0,493115.0,38533.875
2012-01-25,44400.0,42300.0,44300.0,42500.0,483512.0,36884.90234375
2012-01-26,42900.0,41950.0,42700.0,42350.0,422039.0,36754.71875
2012-01-27,46500.0,42750.0,42800.0,46200.0,966234.0,40096.0625
2012-01-30,46650.0,45200.0,45900.0,46650.0,658476.0,40486.61328125
2012-01-31,49100.0,46000.0,46500.0,48300.0,899549.0,41918.61328125
2012-02-01,49300.0,47750.0,48200.0,49000.0,486535.0,42526.125
2012-02-02,50400.0,48600.0,49300.0,49850.0,482763.0,43263.82421875
2012-02-03,50800.0,48950.0,49750.0,50600.0,437521.0,43914.73046875
2012-02-06,52900.0,50500.0,51500.0,52000.0,584131.0,45129.76953125
2012-02-07,52800.0,50500.0,52000.0,50500.0,311655.0,43827.9453125
2012-02-08,54200.0,49850.0,50500.0,52800.0,525442.0,45824.078125
2012-02-09,53900.0,52400.0,52500.0,53300.0,273804.0,46258.01171875
